title,release_date,vote_average,vote_count,overview,original_language,popularity
The strange case of detective Jones,2024-04-23,10.0,1,"Two street girls are slain on consecutive nights, their murders echoing a sinister pattern. When a third victim — an amateur model — turns up dead, panic spreads through the city, and whispers of a modern “Jack the Ripper” begin. Detective Jones, recently divorced and battling his own demons, is forced to chase the killer through a spiral of violence where each night brings a new victim… and darker surprises.",en,0.0931
A' Gabhail Ris,2024-02-23,10.0,1,A man misses out on life and the end of the world because he’s too busy dwelling on a bad break up.,en,0.0264
Strike: The Battle of the Four Clans,2024-06-14,10.0,1,"After the rise of a government threat, the four clans (Administrative Artisans, Sorcerer Teachers, Postgraduate Reapers, and Student Warriors) will unite to confront it. Conflict and bloodshed will be inevitable in a battle for rights.",pt,1.1361
Coockpit e Biggy Woody,2024-08-27,10.0,1,,pt,0.0
From the Ashes,2024-12-14,10.0,1,A suicidal girl finds herself inexplicably unable to kill herself.,es,0.0614
Oblitus,2024-06-24,10.0,1,"Oblitus, a substance capable of making you remember and forget memories, becomes the addiction of a man desperate to find his family.",es,0.0311
Nick Eh 30: The Movie,2024-12-08,10.0,1,Nick Eh 30 goes on a wild ride after a big mistake,en,0.0568
The Veiled Abyss,2024-10-14,10.0,1,"This found footage short film revolves around Holly, an influencer and singer, who ends up in a mysterious convent/refuge after a car accident. She befriends long term residents of the refuge, Bella and Kayleigh. As things become increasingly sinister Bella, Holly and Kayleigh begin to question the true intentions of the sisters",en,0.0557
La Bruja De Óbidos,2024-01-19,10.0,1,,xx,0.0071
With Each Passing Day...,2024-11-16,10.0,1,"Mrs. Piedade is an old mouse who lives in a small village in the mountainous interior of Portugal. Her existence is mainly composed of loneliness and memories, and a hardened routine, guided by the regular beat of the clock and the tea she drinks with her friends, two sisters, who live in the same village. The accumulation of this routine will awaken in Mrs. Piedade the desire to break it. Drawn on to a strong memory that prevents her from acting, she returns to where she was once happy hoping to regain some kind of new happiness.",xx,0.0071
Lázaro,2024-11-27,10.0,1,,pt,0.0866
Les Cinéastes,2024-05-27,10.0,1,,fr,0.0071
Teeth,2024-03-19,10.0,1,"The musical adaptation of the 2007 film of the same name, following Dawn O'Keefe, an evangelical teenager, who is navigating the challenges of adolescent dating and chastity when she discovers she has teeth in her vagina.",en,0.356
Joelma - Isso É Calypso Tour Brasil: Ao Vivo em Belém,2024-12-30,10.0,1,"Recorded on November 24, 2023, at the imposing Mangueirão Stadium, in Belém do Pará, this DVD marks another exciting chapter in Joelma's solo career as part of the ambitious Isso É Calypso Tour Brasil project.",pt,0.0311
Joelma - Isso É Calypso Tour Brasil: Ao Vivo em Recife,2024-03-28,10.0,1,"The DVD Isso É Calypso Tour Brasil: Ao Vivo em Recife features Joelma reviving a vibrant energy with her greatest hits live, recorded at Classic Hall in December 2022 and released in 2024.",pt,0.0143
Our American Dream,2024-09-23,10.0,1,"From Detroit to Manchester and Boston, countless American towns, streets, and rivers bear French names. But why?  Notre rêve américain follows rapper Biz and globe-trotter Jean-Michel Dufaux as they trace the forgotten stories of French Canadians who helped shape American history. Through interviews, archival footage, and on-the-ground exploration, the film uncovers a legacy erased from mainstream narratives — and calls for a renewed connection to this cultural heritage.",fr,0.0583
Pylades & Orestes,2024-08-07,10.0,1,"A man's world is turned upside down when he falls in love with a woman who challenges everything he's ever known. But the real complication arises when he realizes that his deepest love may not be for her, but for his longtime best friend.",pt,0.0214
Beyond Time,2024-03-25,10.0,1,"A journey that promised freedom turns into a nightmare that haunts one man. Now, he is forced to return and confront the mistakes that caused him to lose himself and everyone he loved.",pt,0.0498
Heels,2024-11-15,10.0,1,"With the help of his supportive mother, a young Puerto Rican man prepares for his first performance as a Drag Queen — while trying to keep it a secret from his conservative, domineering father.",en,0.1339
jornal boçal,2024-04-06,10.0,1,[sinopse in analysis],pt,0.0214
Devil on Stalk,2024-09-28,10.0,1,"Kevin Texis shares an experience that brought him dangerously close to demonic possession, leaving an indelible mark on his life. His testimony reveals a chilling encounter with supernatural forces that challenged all notions of reality.",en,0.0143
Kaku Kamu,2024-08-17,10.0,1,"In a quiet town in Pampanga, a young closeted man grapples with his hidden emotions for his best friend, but as he attempts to navigate the complexities of his feelings, a chilling horror emerges, triggered by the presence of a mysterious girl who brings a haunting darkness to their once serene land.",en,0.0552
False Hope,2024-08-23,10.0,1,A lost soul tries to navigate his way through the spawn of his guilty conscience.,en,0.0592
THE TAKEN,2024-03-31,10.0,1,"In “The Taken” when a family outing turns into a nightmare as his loved ones are abducted before his eyes, Adrian, a devoted husband and father, embarks on a relentless mission to rescue them. Fueled by desperation and determination, Adrian channels the courage of action movie heroes as he battles through a series of intense fight scenes inspired by iconic action films of the past. From gritty hand-to-hand combat to adrenaline-pumping car chases, Adrian’s unwavering resolve is put to the ultimate test. Will Adrian’s determination be enough to overcome the odds and reunite with his loved ones, or will he be forced to confront the harsh realities of his mission? “The Taken” is a pulse-pounding short film that explores the lengths a father will go to protect his family in the face of adversity.",en,0.0071
DRUG 100,2024-02-21,10.0,1,,th,0.0
Dream of Dust,2024-10-09,10.0,1,,th,0.0
At the moment,2024-12-31,10.0,1,,th,0.0
El Soldador,2024-04-28,10.0,1,"A naturalistic story about the realities of healthcare and houselessness from the perspective of Ramon Duarte, a houseless welder who receives care from Miami Street Medicine, a street medicine team. In Miami, where rising housing costs are forcing folks onto the streets, the doctor's work is more important than ever.",es,0.0286
I'm Staying Alive,2024-09-09,10.0,1,"A short film that covers one episode of “Zoranova pošta”podcast. When Zoran, the host, welcomes a new guest, the conversation takes an unexpected turn.",sr,0.0
Innermost Heart,2024-12-05,10.0,1,"What happens when two eccentric individuals—a grandfather and his grandson—are forced to spend an entire weekend together? Based on stories and screenplay written by Olivér Gömbös, a young creator on the autism spectrum. For many years, Olivér has been expressing himself and his view of the world through unique film narratives. With a talented creative team and outstanding actors, director Tamás Németh Pákolicz has helped bring Olivér’s greatest cinematic dream to life.",hu,1.2237
Please Come Home,2024-11-09,10.0,1,"After the tragic loss of their wife and mother, Harry and Ann find themselves emotionally adrift. As the mother's birthday approaches, they must both navigate their way through grief in order to reconnect to make it through the day.",en,0.3782
Maven,2024-06-21,10.0,1,,hi,0.0286
The Documentary,2024-09-14,10.0,2,"Xan García, in search of the meaning of things, interviews 13 classmates to discuss and reflect on life. They talk about death, love, happiness, and life itself. Finally, upon finishing high school, the 13 participants say goodbye and embrace the future that awaits them: the adult world. ""An exhilarating story"" - Ian Porto",es,0.0558
SL Benfica vs FC Porto,2024-11-10,10.0,1,,pt,0.0
SL Benfica vs Estrela Amadora,2024-11-23,10.0,1,,pt,0.0
SL Benfica vs Atlético Madrid,2024-10-02,10.0,1,,pt,0.0071
Your Song,2024-11-22,10.0,1,"Caught between the expectations of academic responsibilities and the pull of her passion for music, Skylar finds herself torn between two worlds. Struggling to decide what to do with her life, her rival offers an unexpected opportunity to join her rock band. Now, Skylar must navigate rivalry, ambition, and self-discovery, as she faces the ultimate choice: stay on the safe path or take a leap into the unknown.",en,0.087
ILLVILLE,2024-05-13,10.0,1,"While law enforcement works overtime to cure Illville’s drug problem, Officer Jimmy Lynch kills a teenage boy. Unbeknownst to Jimmy, the boy is the nephew of the notorious drug lord, Slim.",en,2.2157
Clausible Deniability,2024-01-05,10.0,1,"Santa Claus has been murdered. It is up to the crack-team of detectives Sylvester Slydewisel and Eliza Eggnog to solve the case that leads them to mysterious suspects, late-stage capitalism, and their own inner demons.",en,0.0379
Rupert: First Blood,2024-12-19,10.0,1,"A prequel to 2024's ""No Country for Old Horse"" showing how Rupert got his start as a killer",en,0.0
No Country for Old Horse,2024-10-15,10.0,1,"3 teens, 1 very intoxicated dad, and 1 killer. Who will survive or, a better question what will be left of them?",en,0.0168
SAKUIKAZUCHI,2024-08-15,10.0,1,"Sakuikazuchi, ascending to Takamagahara, is gliding there quietly. Don't be deceived by its dazzling beauty...Just as a destructive force was born from Izanami's ruined body after she lost her former beauty, there is also a destructive power hidden behind this beauty, waiting to emerge. Although it appears calm, this calmness actually signals a great catastrophe to us.",tr,0.0071
Tlayer Pauz: O Filme,2024-03-31,10.0,1,,pt,0.0
Full stop!,2024-12-21,10.0,1,"Full stop! is an experimental film that uses symbolic gestures of a high school student to explore daily life and broader social issues, particularly the responsibility of public officials for the tragedy that occurred on November 1, 2024, at the Novi Sad Railway Station.  The main character of the film is not a person, but an ordinary pencil, which becomes a symbol of the everyday actions and inner struggles of a young person growing up in a system of deeply corrupted values. The pencil leaves a mark of our thoughts, aspirations, and reality. Its smallest trace is a dot, a full stop. However, to come to a full stop with injustice is a necessary and at the same time a great act.",en,0.0261
Kristen,2024-05-07,10.0,1,,es,0.0432
Weird Time,2025-11-10,10.0,1,"A dog, Hudson, hates this time of the year.  While the leaves are blowing in the wind, and the snow begins to fall down from the sky, all of the best smells are about. Hudson however, never gets to enjoy any of them.  Stuck inside on a cold late-autumn day, Hudson desperately tries to get what he desires.",en,0.0
Botes,2025-11-15,10.0,1,"Saúl, a young graffiti artist caught between a broken home and street life, forms an unexpected bond with Botes. As they dive deeper into the world of graffiti, a police arrest forces them to face the consequences. Saúl must choose between repeating the past or building a new future.",es,0.0
Días sin sueño,2025-11-10,10.0,1,,es,0.0429
Trine on Fire,2025-11-10,10.0,2,,da,0.2857
The videographer,2025-09-05,10.0,1,A short family trip to the Auvergne-Rhône-Alpes region of France.,en,0.3693
Jonathan Bree: Live in Mexico City,2025-08-01,10.0,1,"Captured during his 18 country, 52 date Pre-Code Hollywood world tour of 2023, this document arrives not as a slick souvenir via expensive rigs or polished crews, but as a séance. Shot on vintage cameras of a pre-internet era, the image breathes with the artifacts of another time — streaked, unstable, alive.  Intercut with fragments of phone footage shared by Bree’s fanatics scattered through the dark of the crowd, it gains a visceral, immersive edge.",en,0.0636
The Long Walk Back to the Bed,2025-11-04,10.0,1,A girl embarks on the perilous journey from lightswitch to bed.,en,0.0679
Jumpstart,2025-11-08,10.0,1,"Jumpstart follows 26-year-old Virginia ‘Billie’ Walton as she chokes on a healthy dose of reality. Trading her mother’s opulent lifestyle for a beaten-up Toyota, Billie hits the road with nothing but her car, cigarettes, and absolutely zero life skills. But when basin-bathing at gas stations loses its charm, Billie has to face her worst nightmare - finding a job. Armed with nothing but her silver tongue, can Billie talk her way into employment before her luck runs out?",en,0.1636
FOME.,2025-11-08,10.0,1,,pt,0.1068
Time Mechanics,2025-06-09,10.0,1,,es,0.1495
Confessions in Static,2025-11-04,10.0,1,"When a real-life house of horror is reopened as a tourist attraction, four friends decide to teach the inhabitants a lesson. But nothing is what it seems, and nobody is telling the truth in this darkly comic twist on the found footage movie.",en,0.0869
Sonder,2025-08-11,10.0,1,A short film directed by Siddharth Tripathy and Shaaz Aryan.  Sonder is an ode to the realisation that everyone around us has lives as complex and vivid as our own.  Dedicated to the lives of those close to me.,en,0.0822
Chickadee Overcomes Gravity,2025-07-30,10.0,1,"Stuck on the ground but dreaming of the stars, an audacious chicken sets out to go where no chicken has gone before. Created collaboratively with young artists using everyday tools, smartphones, and imagination. Bok bok!",en,0.0768
Prison and Time,2025-11-13,10.0,1,"Formerly incarcerated writer Marvin Wade speaks personally about his 25 years in prison and the positive transformation he achieved in spite of, not because of, the criminal legal system around him.",en,0.1546
Nos vemos a la vuelta,2025-11-05,10.0,1,,es,0.1039
Майор Мырза,2025-06-01,10.0,1,,kk,0.0493
CEO IN THE HOUSE,2025-11-07,10.0,1,Fate changes over a mobile call when Vignesh's mother calls him in between a meeting with his Team Lead who doesn't gave him any promotion.,en,0.1022
Wallace & Gromit a Barbour Christmas,2025-11-06,10.0,1,It’s Christmas time for Wallace and Gromit,en,0.2549
7.83,2025-11-06,10.0,1,An opulent deaf man embarks on a journey of self-discovery.,en,0.1567
Tenna’s TV Training,2025-08-17,10.0,1,Mr (Ant) Tenna gives a presentation on his five “TV-Tastic Tips” on how to make it big on TV!,en,0.0611
Mean Boys,2025-11-05,10.0,1,Archer High- A flashy LA school open to all people and sexualities. Between drama at The Grind and never-ending crushes there's trouble about.,en,0.1297
Premiere of the Dead,2025-10-31,10.0,1,"It's Halloween night. Three friends prepare to attend the premiere of the latest installment in their favorite teen-slasher film franchise. However, their plans are interrupted by the untimely arrival of the zombie apocalypse. Outnumbered and outmatched, they confront their doom head-on and resolve to reach the premiere anyways. The question is: will they make it there alive?",en,0.0756
Delivery Letal Z,2025-10-16,10.0,1,,es,0.2575
The Door,2025-07-20,10.0,1,"A man wakes up in the desert, where a mysterious door and guide stand before him.",en,0.2058
PiCO Pedro Saliba - Clio 2007,2025-11-07,10.0,1,,pt,0.1988
Stronger with Don Saladino - Sebastian Stan,2025-11-03,10.0,1,"Sebastian Stan Gets Real About Failure, Growth, and Staying Authentic while lying about his phone screentime.",en,0.2286
muita gente,2025-11-08,10.0,1,"a short film about the end of the world. filmed with an old digicam at a park on all souls’ day, 2025. two best friends talk about turtles and watch people in their natural habitat while listening to tomate cereja.",pt,0.3842
UNIX,2025-11-03,10.0,1,"When a man takes up a job at a computer systems company, he must complete tasks that challenge his ability to comply to moral protocol.",en,0.124
Watch The Cat,2025-11-01,10.0,1,"When a struggling cat sitter takes on a very last minute job, she is given three simple instructions: feed it twice a day, don't forget to give it water, and don't let it go outside.",en,0.1284
Where The Fog Breathes,2025-10-31,10.0,1,"Adrift in the endless fog of the open sea, a lone ship wanders through still waters. Whispers rise from the depths, hinting at something unseen. As day bleeds into night, unease thickens with the fog. Time stretches thin, reality frays, and the crew drifts further from certainty. The calm is hauntingly beautiful, but it carries a weight no one can escape.",en,0.0783
O Que Dizemos No Escuro,2025-11-06,10.0,1,,pt,0.0507
"Cambrian, Cradle of the Phanerozoic",2025-01-21,10.0,1,"A trip through the Middle Cambrian, just over half a billion years ago. Featuring a variety of Trilobites, Radiodonts, Conodonts, Stylophoran Echinoderms, Pikaia, Lobopodians, Vetulicola, early Molluscs, and various other early animals.",en,0.0
Mengejar Untuk Mengalah,2025-05-15,10.0,1,,id,0.0143
The Real Dust Busters,2025-01-01,10.0,1,"Two scientists, Anton Black (Noah Lee), and Decker Hopkins (Will Pletcher), must reunite to fight the experiments created by Theo Darwain (Joshua Hall) the evil CEO of Dust Industries. Can the two crack pot inventors scrape together to save the world as we know it, or will they bite the dust?",en,0.057
By Dawn,2025-10-31,10.0,1,"In a shadowed, century-old art studio, a thousand-year-old vampire devotes himself to capturing a mysterious woman, torn between obsession and regret. yet some creations carry a price all must face.",en,0.2746
Entre aulas e barricadas: dez anos das ocupações das escolas na cidade de São Paulo,2025-10-31,10.0,1,,pt,0.0743
ma grand-mère aime les raisins moisis,2025-11-02,10.0,1,,fr,0.0336
Expediente Warra: La Peluca Maldita (the Contouring),2025-10-31,10.0,1,,es,0.0143
Mariya Markova: Good Evening,2025-10-28,10.0,1,Mariya Markova's first solo stand-up concert,ru,0.3319
RING RING,2025-01-22,10.0,1,A grieving son buys a mysterious phone from an antique shop in order to talk to his late mother.,en,0.0261
October Glow,2025-11-02,10.0,1,A film that presents a child's perspective of Halloween,en,0.0577
Lost and Found,2025-10-31,10.0,1,"The MV captures the members in various moments that evoke a cinematic music drama: from the band practicing together, to Gaon and Jooyeon running somewhere, O.de and Jun Han, Jungsu deep in thought, and Gun Il observing something with a focused gaze. Each scene reflects a unique facet of youth.  The song is about someone waiting endlessly for love that never comes back. They feel lost, tired, and hopeless, wishing to be noticed or let go completely. It captures the pain of waiting, the loneliness of being forgotten, and the desire to be found again.",ko,0.085
LEGION,2025-10-30,10.0,1,"One night in an argument with his girlfriend, Natale, Robert commits a sin, a horrible dreadful sin. All alone, he meets a figure who’s nice, polite and welcoming. The figure offers him a chance for that night to go away; will Robert cheat and take the deal or own up to what he’s done. I ask you. Would you take that easy road? That chance to gain whatever you want from the grasp of someone else’s hand? Would you cheat at this game of life… or work for it?",en,0.4402
Vô,2025-10-31,10.0,1,"An animated short film that shows the relationship between a girl, her grandfather, and a little bird. A series of everyday events, ranging from daily meals to car rides, demonstrate the closeness and friendship between the two. A film about love, longing, and cherished memories.",pt,0.1362
A City Fights Back: How LA Defends Itself from ICE,2025-09-03,10.0,1,"As ICE raids intensify across Los Angeles, a high school teacher leads the grassroots resistance.",en,0.0143
"Thanksgiving, Again?!",2025-11-01,10.0,2,"When Tori volunteers to host her husband's loud Italian family for Thanksgiving, she finds herself stuck in a time loop, forced to survive endless rounds of overbearing relatives, family drama, and way too much turkey.",en,0.1201
Ocular Silence,2025-10-31,10.0,2,A young woman steps out of the shower and discovers something strange on her face.,en,0.1246
TINI en vivo: FUTTTURA,2025-11-08,10.0,1,"Enjoy FUTTTURA, the festival by Tini created as an immersive experience for her fans to relive their favorite songs in a unique way. From Violetta to the present, Tini takes you through every stage of her journey in a magical, thrilling, and unmissable adventure.",es,0.5842
One Last Meal,2025-10-18,10.0,1,A young man gets a visit from a very unexpected guest.,en,0.0297
Home,2025-10-25,10.0,1,A young man works day and night to visit his sick mother back home.,en,0.1042
X-Slasher,2025-10-30,10.0,2,,pt,0.0402
The dream of Grisel,2025-10-29,10.0,1,"Grisel reminisces about her youth through the transformative experience of participating in an independent Argentine film in the 1970s, based on Cortázar's short story ""End of the Game."" From a set that recreates her memories, Grisel shares objects, letters, and family mementos she still cherishes, and evokes the emotion of playing Leticia, the central character in that now-lost film. Through archival footage and set reconstructions, the documentary explores nostalgia, the passage of time, and the indelible mark that cinema leaves on those who experience it.",es,0.0327
Against All Odds,2025-10-31,10.0,1,"Against All Odds is the gripping sequel to Try That Again, following Jason, Jocelyn, and the enigmatic bartender Lexian as they navigate the dangerous consequences of Jason’s repeated manipulations of time. Hunted by Xaldin, a relentless enforcer of the natural order, the trio must outwit their pursuer and confront the ripple effects of their past choices. Every decision carries weight, and survival may demand sacrifices they never imagined. Can they stay one step ahead of destiny itself—against all odds?",en,0.4598
The Foreign Shoes,2025-11-12,10.0,1,"A seven-year-old boy eagerly awaits the football shoes his father promised to bring him from abroad. But when he opens the suitcase, he finds an unrelated pair of men’s shoes instead. The boy’s innocent attempts to turn those shoes into the football boots he had dreamed of lead him into a series of bittersweet and humorous adventures.",fa,0.5037
Kōauau,2025-10-30,10.0,1,"Ty discovers a kōauau on a beach, which causes him to repeat the same day over and over again. Frustrated and desperate, Ty must figure out how to break the cycle and free himself from the kōauau.",en,0.0214
"""Ele não chega sozinho: A entrega vem primeiro",2025-10-29,10.0,1,,pt,0.0143
Leave No Trace,2025-10-28,10.0,1,A routine school newspaper interview spirals out of control when one reporter accuses a beloved teacher of being an environmental fraud.,en,0.0451
Venezuelan Blues,2025-09-28,10.0,1,"Jaro, a young Venezuelan immigrant and aspiring musician, lands his first gig at a Chicago blues club, but his clothes are beat up. Desperate to make a good impression, he scrambles for quick cash. Maybe he could sell a hip-hop beat he’s been working on. Will it be enough to get him on stage looking fresh, though?",en,0.1058
After the Rain,2025-09-21,10.0,1,"Kong was stuck in the rain at the faculty, so he went to take shelter in the activity room and met Beam, a classmate he had a crush on.",th,0.0914
A Friend In Me,2025-10-27,10.0,1,"Sam, a young ghost-hunter, brings home a mysterious VHS tape.",en,0.0071
Hôtel Minéral,2025-11-01,10.0,1,"On the edge of the ring road, at the top of a concrete tower block, Mapi listens every night to the voice messages sent to her by Gabi, her boyfriend whom she has mysteriously stopped answering. With summer approaching, the floor is gradually emptying, and the few remaining tenants would like to understand their friend's silence. But within the walls of the Hôtel Minéral, it seems difficult for anyone to re-establish communication.",fr,0.1317
The Rebuke,2025-06-20,10.0,1,HKU first year student project.,en,0.0614
Il tempo del fiume,2025-10-25,10.0,1,,it,0.0071
Voice,2025-11-08,10.0,1,"A journey into the life of blind jazz musician Caitlin Smith as she explores how her voice as a musician and teacher has become a tool of identity, resilience, and empowerment.",en,0.1588
WeirdWorld,2025-11-01,10.0,1,A small disillusioned creature searches for meaning in an increasingly weird world.,en,0.0398
Tout Va Changer,2025-10-03,10.0,1,"Sarah and Alex live with their parents in Lebanon and enjoy escaping into their imaginary world. One day, the family receives unexpected news that will change their lives forever.",fr,0.0071
ABSOLUTE CINEMA,2025-10-30,10.0,1,"A fresh out of university film graduate decides he is fed up with the current state of cinema, with big releases only ever being franchise films or reboots. A documentary crew follows him as he sets out to create the greatest film of all time.",en,0.1057
The Cringy Life Of A Replaceable Kid,2025-06-07,10.0,1,"After the school shooting at “Positive Thinking High School”, a socially awkward boy and a teen model drift together into his eccentric mother’s world--pulling them into a tangle of humiliation, absurd beliefs, and questionable life lessons.",en,0.0193
Death Note Resurrection,2025-10-24,10.0,1,"Light Yagami’s control over the Death Note is growing, but L is still on the case. Watch the re-imagining of the classic manga in this student film!",en,0.734
Penumbra,2025-10-26,10.0,1,,es,0.1697
I Hope It Happened the Way I Think It Did,2025-10-25,10.0,1,"Made over the course of three days, this film is the culmination of three weeks.",en,0.0
Sometimes I Forget What Day of the Week It Is,2025-10-19,10.0,1,"When something small happens, it's usually over within seconds.",en,0.0
M.S.T.W.,2025-08-31,10.0,1,This film is dedicated to myself in three years.,en,0.0071
"Thank God for Smart People, or Else I Would Be Dumb 2",2025-05-24,10.0,1,The smart people are the reason there are dumb people.,en,0.0
The Meditation/McDonald's Conflict,2025-05-06,10.0,1,Wyatt must decide what means more to him.,en,0.0
"Thank God for Smart People, or Else I Would Be Dumb",2025-04-02,10.0,1,"The smarter someone is, the less you should probably trust them. Given the choice between being smart and dumb, I'd always choose dumb.",en,0.0
The Communists are Coming - A Visual Manifesto,2025-10-24,10.0,2,"This original documentary charts the founding year of the Revolutionary Communist International, up to its inaugural conference in June 2024.",en,0.0281
MEATCANYON,2025-10-25,10.0,1,"Obsessed with his declining online relevance, Hunter descends into madness as he extracts grotesque, malformed cartoon ideas from a decaying creature locked in his basement",en,0.1156
Alessandro Santin,2025-10-24,10.0,1,Alessandro Santin,en,0.0
Fly You To The Moon,2025-01-01,10.0,1,,zh,0.0
The Fearless Flyers // Live in Italy,2025-10-21,10.0,1,The Fearless Flyers give a funky performance live in Italy.,en,0.0517
Podcasters Must Die,2025-10-22,10.0,1,TMG Studios’ first short film in the form of a comedic slasher. A killer is on the loose and he’s coming for your favorite podcasters.,en,0.0766
Stories of Songville,2025-07-01,10.0,1,"A retelling of Daniel Chapters 1-3 in a world of sci-fi and fantasy. Thralldom, a tyrannical regime has conquered a magical and music-loving land called Songville. Danny, Mish, and Hanan, now exiles, rise from captives to high-ranking overseers under the Iron Master’s rule. They faithfully serve their master while secretly pledging allegiance to the true High King and the ways of Songville. However, as tensions rise and the cost of resistance grows, they must decide whether to risk their lives for the sake of faith and what they truly love— or remain silent in the face of tyranny. Are they willing to put their lives on the line for it?",en,0.056
#13,2025-10-03,10.0,1,"Ricardo wakes up in a warehouse filled with laboratory artifacts. When he tries to escape, he finds a locked door and mysterious noises coming from outside. Overwhelmed by the desire to recover his memories, he tries to open the door, only to find the truth behind it.",es,0.3284
Klipy #goofy2025,2025-04-21,10.0,1,,pl,0.0451
JADE - THAT’S SHOWBIZ BABY! THE TOUR from the London Roundhouse,2025-10-22,10.0,1,"Concert film of JADE’s THAT’S SHOWBIZ BABY! THE TOUR at the Roundhouse in London, England on October 22, 2025.",en,0.0256
Awkward Gawker,2025-10-18,10.0,1,"After accidentally going viral, our apologetic hero encounters unhinged adversaries and unhelpful childhood heroes on her quest to keep her job.",en,0.1268
Lost The Plot,2025-02-23,10.0,1,"Yung T, an aspiring actor decides to star in an advert to get some attention, only to discover he hasn't made a single dime of it but is noticed by one producer, this all leads him to go down the path of the criminal underworld.",en,0.0214
Leaving My Mother,2025-10-17,10.0,1,"A teenage boy gets the opportunity of a lifetime. But to follow his passions and chase his dreams of becoming a magician, he must face his biggest challenge yet - leaving his loving mother.",en,0.4011
Displacement,2025-05-29,10.0,1,An intense conversation between a mother and her child.,en,0.0071
Al Amal: A Journey of Hope,2025-02-20,10.0,1,"An animated short documentary crafted by people on the move in the refugee camp of the island of Lesbos (GR), following the story of Orhan, a Syrian Kurd who fled war with his family in 2013, seeking safety in Turkey—only to find that peace was still a distant dream.",ar,0.1041
Red Bull Stalen Ros 2025,2025-10-25,10.0,1,,nl,0.0498
26.2,2025-10-28,10.0,1,"""26.2” follows four New Yorkers training for the 2024 NYC Marathon: a retired math teacher, an NYPD administrative aide, a public defender, and an elevator mechanic. Between them, they’ve survived a stroke, cancer, a life-changing house fire, and finishing dead last in the 2023 race. They’re not professional runners. They’re people who’ve been knocked down and decided to keep moving. This isn’t a story about running fast. It’s a story about getting there at all.",en,0.0143
Grapefruit,2025-10-15,10.0,1,A famous kids show goes off the rails ...,en,0.0286
H4pPy 6iR7hd4y D3n M4rK,2025-10-21,10.0,1,Ang munting short film.,tl,0.0071
Fears is a fluke Tears is the root,2025-10-11,10.0,1,James is looking for his wife after finding letters she left behind. He stops by a town and meets a few bizarre characters changing his life forever.,en,0.0268
Gardenia,2025-09-30,10.0,1,"Two lovers, sharing an afternoon tea, have what could be their final moments of a forbidden love. Faced with the potential of only having the memories of them together left, Julia tries her best to win Elizabeth back, before Elizabeth moves away with her newlywed husband.",en,0.0682
THE SUPER GUIDE DEFINITELY EPIC FRAGRANT AND BIUTIFUL OF RPG,2025-10-20,10.0,2,"In this work from IES 025, a group of RPG players from a mystical and distant land, as usual, schedule another regular game. However... everything changes when they receive a visit from a new (and very well-known) player...",pt,0.1534
Vibrations,2025-05-01,10.0,1,"In an intimate and provocative journey, Vibrations is a documentary-essay that explores the filmmaker’s complex relationship with explicit imagery and his own sexuality. Born into a Catholic family and struggling to put his homosexuality into words, the director finds in pornography a space for self-exploration and acceptance. The film dives into the nuances of alternative pornography, challenging stigmas and revealing how desire, identity, and the politics of the body intertwine both on screen and in life. A work that pulses between the personal and the universal, Vibrations challenges perceptions and invites a rediscovery of pleasure and freedom through the image.",pt,0.062
Anachronist,2025-05-27,10.0,1,"Waking to a door shutting, Aswin finds his roommate Alan and the entire building deserted. As friends fade in and out, and the hostel twists into a maze, Aswin is trapped in a terrifying, inescapable loop of collapsing reality.",en,0.1488
